Calculated the average metascore by movie country of origin
                Metascore
Country                  
Australia           67.50
Austria             95.00
Brazil              80.00
Denmark             77.00
France              69.00
Germany             68.00
Hong Kong           85.00
Italy               83.25
Japan               79.50
Spain               87.00
Taiwan              94.00
United Kingdom      84.80
United States       81.50
Calculated the average metascore by movie genre
           Metascore
Genre               
Action     78.153846
Adventure  80.187500
Animation  84.400000
Biography  79.375000
Comedy     80.000000
Crime      84.222222
Drama      86.166667
Horror     85.500000
Calculated the number of recommended movies with a RT score equal to or higher than 90 by year
    Year  Number of Movies
0   1919                 1
1   1926                 1
2   1931                 3
3   1933                 1
4   1934                 1
5   1937                 1
6   1938                 1
7   1940                 2
8   1941                 1
9   1942                 1
10  1944                 1
11  1946                 2
12  1948                 1
13  1950                 1
14  1951                 2
15  1952                 2
16  1954                 1
17  1956                 1
18  1957                 2
19  1959                 2
20  1960                 1
21  1963                 1
22  1964                 3
23  1967                 2
24  1968                 1
25  1969                 1
26  1971                 1
27  1972                 3
28  1973                 2
29  1974                 2
30  1975                 2
31  1976                 1
32  1977                 1
33  1978                 2
34  1979                 3
35  1980                 2
36  1981                 1
37  1982                 1
38  1984                 1
39  1985                 1
40  1986                 1
41  1987                 1
42  1988                 4
43  1989                 2
44  1990                 1
45  1991                 2
46  1993                 2
47  1994                 3
48  1995                 1
49  1996                 1
50  1997                 1
51  1999                 5
52  2000                 2
53  2001                 1
54  2002                 2
55  2004                 2
56  2006                 2
57  2008                 2
58  2009                 1
59  2011                 1
60  2012                 2
61  2014                 3
62  2015                 3
63  2017                 5
64  2018                 3
65  2019                 2
